source_file	line	flag	text
005.再致金兰邻居.txt	17		　　①程灝所谓“该三个半车位”“与地下室持分所有人无关”，与事实不符。查金兰大厦持分，含公共设施，A座61.53坪、B座61.97坪、C座46.38坪、D座47.53坪、E座42.81坪、F座46.38坪，总面积306.6坪。而地下室持分，二十二位所有人每人有权状持分二十二分之一，权状上坪数相加，悉与上面总面积相当。此由权状可证。地下室既全是二十二位的产权，程灏所谓“该三个半车位”“与地下室持分所有人无关”，全是他胡说八道！全是他凭空捏造出的三个半车位！
005.再致金兰邻居.txt	19		　　②程灏所谓“将地下室……墙壁拆除及迁移柴油发电机位置所增者”，也是他向壁虚造。“拆除及迁移”之事是在我担任主任委员以前的事，据知乃得自台北市建管处负责人的建议。“拆除及迁移”之后，车位多出一个，不过，此多出者，根本就是属二十二分之一持分的叶财记第十三号车位。当年分车位之始，第十二号车位、第十三号车位位置凸出，影响其他车辆进出，叶财记因为是大厦建筑商，乃愿对此车位不行使权利，使南北向并排的第十二号车位（邻居钱忠杰持分）的车得以东西向停放，以利其他车辆进出。自从“拆除及迁移”后，第十二号车位、第十三号车位得以恢复南北向并排停车而已，多出一个车位算是公家收入的，事实上仍是二十二分之一持分者叶财记的不行使权利而来。叶财记至今还以所有人身份每年为这块土地缴税金呢，又何来程灝所谓的“与地下室持分所有人无关”？全是他胡说八道！全是他凭空捏造出的三个半车位！
005.再致金兰邻居.txt	21		　　③程灏所谓“车库不锈钢电动栅门”及用电系统“电费自系公共负担”，也是在我担任主任委员以前的事。据知该栅门之做，并非专为车库，而是整排为金兰大厦后门。当时且为防止对街配锁小贩（阿狗）及饮食摊侵入金兰后面凹墙，故做栅门向前推进，以策安全而保权益，这是全面巩固金兰后方的事，岂可先局限在车库持分人身上？车库持分人对划出三个半车位算是公家收入，他们慷慨无间言，又何负于大厦？至于说用电系统，试问每辆车每月要缴5500元给大厦，是干什么的？付电费还有余啊！程灝说“是车库管理费及结存余额，焉指CD座不能分享”，综上所述，可知CD座不闹“独立”，它已一路分享从别座而来的好处，大家也让它分享，不予计较；但既闹“独立”，由于CD座在二十二个车库持分中毫无产权，“独立”以后，自然就占不到便宜了。程灏说CD座要“分享”，CD座未持有车库产权，却要分起“车库管理费结存”来，此后并要按车库面积“分享之，按月收取”费用，如此收霸王费，通乎？不通乎？
009.卖掉汽车，改骑脚踏车了.txt	5		　　金兰大厦CD座“独立”后，正如猪八戒所谓：“当家方知柴米贵。”据管理员报告，已内讧不已。新成立的所谓“理事会”中，大员“洪淑娟”、“田嘉美”等，均自行贴出布告，宣示不克任职。……
012.代胡学古复洪贵参律师函.txt	17		　　四、正因顶楼中座朱婉坚女士有其法源存在而为水晶大厦主任委员吴越潮先生以下所认证，故十五年来，大厦月月照收管理费，从无所谓产权问题。月月照收管理费达十五年之久，即为大厦一路承认主任委员吴越潮先生以下签名之有效。
013.对程灏诬告案的综合陈述.txt	7		　　所谓“不办理移交”，其实根本没有此种情事。最主要的移交项目是钱。钱以金兰大厦公家名义存邮局，要有四条件方能提出：
013.对程灏诬告案的综合陈述.txt	47		　　可见“处分”大厦存款这一“财产”，须经“住户大会之决议”才行。张福淙至今未召开住户大会，只会加刻了“主任委员”印信一再违反住户公约下条子、过官瘾，这不是务实的做法，也不是尊重大厦十多年来好传统的做法。他一上台，就把老兵管理员们纷纷减薪，更违背住户公约第五条“管理费之调整”规定及第十二条“社会习惯”。所谓“调整”的“社会习惯”，是比照物价指数加薪而非减薪，这是常识，但张福淙书呆子不通人情与物情，所以逼得金兰大厦AB座只好独立。
015.所谓“移交”问题.txt	1		所谓“移交”问题
015.所谓“移交”问题.txt	11		　　五、张福淙要“移交”的所谓“财物、账证及文书”，“账证及文书”部分，十多年来分由管理员卓浩然和徐晋贤保管，按分层负责，主任委员不该亲掌，但他要“移交”，尽可找卓浩然、徐晋贤去办，与林凤梧、林丽蘋何涉？至于“财物”部分，所谓“物”，根本不知他所指为何？所谓“财”，大厦存款存折由管理员徐晋贤保存、管理委员会大印在总干事林丽蘋手中、原始开户的吕清贵主任委员章也在总干事林丽蘋手中、稽核委员林凤梧章在林凤梧自己手中，存折和三颗印章不集合在一起，谁也不能提得出钱来，这种又安全又防弊的规矩，是金兰大厦行之十多年的好传统。但张福淙却又要“移交”，他先把管理委员会大印及吕清贵印拿到手里，存折一度也拿在手里，然后要林凤梧跟他盖印配合。
015.所谓“移交”问题.txt	17		　　八、由上可证，不但李敖不发生“移交”问题；林凤梧、林丽蘋也不发生“移交”问题。所谓“移交”问题，只是“一朝权在手，便把令来行”者的权力膨胀而已。
017.黄大洲听着！.txt	23		　　六、以上所列违建必拆法规，皆为中央法规。依《台北市法规准则》第3条，明定“市法规不得抵触《宪法》及中央法规”。而该局处有关人员明知法律位阶有上下之分、从属之别，却悍然蔑视中央法规，而以所谓 “台北市加强违章建筑处理执行计划”前来搪塞，自与《台北市法规准则》第3条抵触。而抵触中央法规，更不在话下了。
018.以“地下阁楼”为例.txt	11		　　五、贵会显然没提出贵会方案，而提出的问题，又是自己还没经过研究就信口开河的问题。前由贵会属下个人程灝妄言金兰大厦地下室另有不属于二十二个私人车位的194.87平方米存在，可供大厦“全体共同共有”之车位；贵会属下个人蔡宪荣复以“金兰大厦CD座理事会”盖印行文妄言另有248.46平方米存在，“系全体住户所共有”。以上两种说法换算成坪数，前者为59坪；后者为75坪。但按诸实际，根本就没有59坪或75坪可供全体住户所共有之车位存在！可见不论个人或贵会，所言皆是“地下楼阁”！如今又以所谓“撤废机械房”信口开河前来，试问何不到地下室看看，自己试作答案，列入贵会方案，岂不更妙？——只要经过研究，就知道所谓“撤废机械房”的出口根本是二十二个私人车位中的第十二号、第十三号车位！除非消灭这两个车位，根本是不可能“如何”的。但有产权之私人车位能消灭吗？贵会何必怪AB座方案“并未叙及”呢？贵会何不自己提出“叙及”的“方案”呢？贵会二十八户人家如肯睁开眼睛到地下室研究一下，就知道除非消灭了那两个私人车位，所谓“试问撤废机械房今后如何”的问题，根本是不通的问题，只是胡搅蛮缠而已！
022.有子三书.txt	9		　　古人有以“戡”取名者，像宋朝章戡等是，但我戡迥异彼戡，彼戡非此戡也。
025.致汤麟武.txt	5		　　先生去意大利领奖前后寄给我的《伏枥存稿》等，我都一一读过了。边读边佩服先生的坦诚和细腻，时有卓见，亦情见乎词。盼望先生能把它们印成专书。请注意：自己的书一定要在自己活的时候印出来，要靠学生朋友，将是胡适全集至今犹未问世的下场。先生既自知自挽自祭之文皆需自己动手，自印之事，并请注意及之。
026.政骚扰.txt	31	risk	　　八、不期“八十一年度自更一字第16号”本人与胡秋原讼案中，地院法官施俊尧，公然违反《刑事诉讼法》之证据法则，竟谓诉讼期间（反诉人胡秋原于“八十年3月28日提起反诉”，自该日期起算）李敖为“李敖出版社及《求是报》之发行人”，其中所谓为“李敖出版社发行人”，显非事实，而是法官施俊尧之误。（附证四）
030.给台大校长的公开信.txt	9	risk	　　该事件的当事人，不论迫害人的（如阎振兴、冯沪祥之流），或被人迫害的（如陈鼓应、王晓波之类），其主体，都是国民党员，事件的形成，国民党内斗与争宠也为重要原因，斗败与失宠一方单纯以学术自由为诉求，固得其形似，但单纯就此一方向调查，就误导了、被误导了。事实上，当时盘踞在大学里的教员，有几人不是国民党或比国民党还国民党的所谓自由人士？今天先生如果真有气魄要调查，理应从国民党党化教育、以党员教员控制台大内幕为导向。若单单查一事件且以误导、被误导方向查之，是舍本逐末、避重就轻耳！
030.给台大校长的公开信.txt	17		　　三十多年前，我在台大做第一流的学生时候，胡适之先生跟我长谈，他要把台大变为北大的怀抱，溢于言表。三十多年下来，胡适之先生怀抱顿成虚愿。如今章孝慈先生北大归来，声称“将建立东吴为具人文精神的大学”，东吴精神，喧腾报章，不知先生作何感想？古人说爱人以德，先生上任伊始，特坦言相告，也算以德之一章也。即请
033.对何炳棣先生“认真的讨论”的讨论.txt	5		　　昨天你我两人一见面，对坐即谈，一连四个半小时（4点到8点半），不喝水不小便，《孔子家语·致思》说：“孔子之郯，遭程子于途，倾盖而语终日，甚相亲。”——他们朋友初识，路上相遇，车盖相接，一见如故，我本怀疑他们不喝水不小便么？昨日畅谈，始信孔子与程子之事，亦极可能，并非夸大也。
033.对何炳棣先生“认真的讨论”的讨论.txt	7		　　昨晚近10时半分手后，我11时抵家，先读尊作《读史阅世六十年，胡适之先生杂忆》，文末说：“我对胡先生的景仰之处绝不是他的史学，而是他在整个20世纪中国的独特历史地位。”此一论断，至为公允，且具特识。文中“逐条忆录先生原来语句”中，你写道：
033.对何炳棣先生“认真的讨论”的讨论.txt	11		　　笔者案：傅孟真先生豪迈粗犷的性格和他一生先骂后成相好之例是人所熟知的。傅氏本人在胡适所编《丁文江这个人》书中曾详加洗辩，仅述其事而不保留胡先生原语，以致索然寡味，语长，兹不赘。李济之先生公子李先谟先生在《胡适与李济》一文里，指出大约在1929年一次宴会上，胡先生介绍傅、丁两位时，说：“在君呀，这就是要杀你的傅孟真！”当时李济在座，这句话是李先生在1963年胡先生逝世后追忆的。同述一事，而“原来”语句竟不同如此。史料存真、求真，真是谈何容易。取决之前，有关两点必须弄清。一、这次宴会的主客是地质学家丁文江，陪客是胡先生文史界的旧相知。因此，丁以主客的身份站在一固定点，胡先生是把陪客分别引到丁处做介绍的。二、胡先生安排这场宴会主因之一，正是由于前此傅因某事对丁不满，对胡说过非要杀丁不可的话。聪明幽默绝顶的胡先生正是要把傅引到一个无可更窘的地步；只有如此才会使傅对前此过分的莽撞，多少发生些反省的作用。这是胡先生生平社交方面最得意之笔之一，所以我不得不对他的“原语”做以上认真的讨论。
033.对何炳棣先生“认真的讨论”的讨论.txt	13		　　不过，你的“补充和诠释”，可能因为你的渊博，多看了李济、李先谟父子的记录，反倒“上了当”。其实胡适的“原语”，正确形诸文字的，早见于他1952年12月10日写的《傅孟真先生遗著序》：
033.对何炳棣先生“认真的讨论”的讨论.txt	17		　　这话跟你亲闻于胡适的相去不远，自仍以胡适形诸文字的更为准确。当时的口气仍是胡适对傅斯年说的，你的“认真”，由于误信李济、李先谟父子的误记，演变成胡适对丁文江说的口气，显然受了渊博之累！
033.对何炳棣先生“认真的讨论”的讨论.txt	19		　　至于你说傅斯年“在胡适所编《丁文江这个人》书中曾详加洗辩，仅述其事而不保留胡先生原语”，事实上，胡适并未编过此书，也根本没有这种书名的书，而是在丁文江死后，《独立评论》第一八八号（1936年2月16日）出了“纪念丁文江先生”专号，上有胡适《丁在君这个人》一文而已。同期有傅斯年《我所认识的丁文江先生》，中说：
033.对何炳棣先生“认真的讨论”的讨论.txt	25		　　再看李先谟《胡适与李济》原文：
033.对何炳棣先生“认真的讨论”的讨论.txt	27		　　据估计，大约就在李济任教南开的后期或在清华国学研究院任导师的时期（1924-1928年），胡适和李济两人方才结识。胡适介绍丁文江跟傅斯年相识的那次宴会（即胡适向丁文江介绍说“在君呀，这就是要杀你的傅孟真！”的那次有名的会见），李济是参加了的，时间是在1929年左右。
033.对何炳棣先生“认真的讨论”的讨论.txt	29		　　再看胡适死后李济对记者李青来的谈话原文：
033.对何炳棣先生“认真的讨论”的讨论.txt	31	risk	　　第一个故事是一个很老很老的故事。这故事是许多人所知道的，这故事是说，胡适博士有一位朋友叫做丁文江，他是我国地质学的领导人，丁文江先生与胡适博士交情很厚，可是他在我国国民政府成立以前曾与孙传芳很接近，并且当过上海的督办。傅斯年对于他的这些行为很痛恨，认为“丁文江可杀”，傅斯年也是胡适博士的好友。国府成立之后，大概是在民国十八年左右，有一次赵元任请客，那天有胡适、有丁文江、有傅斯年、有李济，大家都知道傅斯年很恨丁文江，也都知道丁文江知道傅斯年说他可杀，因此大家都很担心，他们见了面后这宴会的空气会变得怎样。可是胡适博士却很风趣的给他两人做了一番介绍，他把丁文江拉过傅斯年一边介绍说：“在君呀，这就是要杀你的傅孟真！”当下两人由于胡适博士的风趣的介绍，不但过去的成见全消，而且从此以后，做成为最最要好的朋友。
033.对何炳棣先生“认真的讨论”的讨论.txt	35		　　傅斯年的形诸文字回忆，在丁文江死后一个月写成，最原始，应最可信；胡适的形诸文字，已在十六年之后，记忆容或走样，至于李济在胡适形诸文字后十年的回忆，更走样了。
033.对何炳棣先生“认真的讨论”的讨论.txt	37		　　当年，《独立评论》是胡适编的，每文必由其审定，纪念专号第一篇就是傅斯年之文，如所述不实，胡适必然会先与傅斯年“认真的讨论”。可见胡适当年同意请客的是傅斯年，胡适所说的口气，以傅斯年的回忆最与当时符合。
033.对何炳棣先生“认真的讨论”的讨论.txt	43		　　至于尊作《从爱的起源和性质初测〈红楼梦〉在世界文学史上应有的地位》，越界渊博，自更令丁邦新之流傻眼矣。其中程颐名言，昨天我已面达如用引证号，宜加二“极”字改为“饿死事极小，失节事极大”为妥。“极大”“极小”是《二程全书》中《遗书》的“原语”。虽然朱熹《与陈师中书》中有“昔伊川先生尝论此事，以为饿死事小，失节事大”之语，但非直引程颐之言，且“原语”明明以二“极”字加强语气，自应照原文全引再加引号。
034.从“冷淡”到“偷笑”.txt	5		　　李雪菱看出李敖对人很冷淡，在某些情况下，其实是一种颇为敏锐的观察。她说李敖的笑容“都假假的，意思意思就算了”，说“意思意思”，确有此笑，但并非“假假”，而是恰如其分。基本上，我对人评价都不高，见到对方友善前来，只好量笑而为。笑是一种友善、一种适度的“知道了”、一种“垂怜”。用“垂怜”，并非自大，而是对不同境界的对方某种程度的肯定，虽然在内心深处，自觉所肯定的似乎不多，外张内弛之下，于是“意思意思就算了”。《论语》中“夫子莞尔而笑”；《楚辞》中“渔父莞尔而笑”，我想都属这种，实有“垂怜”存乎其中。你答复雪儿的话，都很敏锐，深觉你知我之深。
034.从“冷淡”到“偷笑”.txt	31		　　可是，永远都对“知识”与“智慧”贪得无厌的我，很快地又不能满足于正茂先生的瓶颈，又慢慢地开始思索下一步该怎么走了。十九岁那年，正是我考场失意的当儿，无意间在金石堂翻阅远流刚出版的《胡适作品集》，一读之下，我整个人都呆住了！这正是我衷心企盼自己当如此的人物典型，这些文章篇篇都是以浅白的文字在谈深入的问题，其铿锵有力的论理很快就打进我的心坎里。我如醉如痴地读着他的书，也读着你的书，不知不觉间，我心头的阴影已遁走得无影无踪，我对自己未来的轮廓已愈来愈清晰，那就是——如前所言，我要做个顶天立地的“人”，一个不断探索自己的生命，保持内心的清明，不论站在什么位置，永远是个最气象卓然、最令自己满意的“真”人物！
034.从“冷淡”到“偷笑”.txt	33		　　说到读你的书，这话得从头讲起。我爸爸在年轻时便很爱读你的作品，他一直是个外表笃实厚重，安分守己，内心却也会波澜汹涌的人。他爱读书，在那个封闭的年代里，尤其爱读“禁书”——不论是黄色或灰色的禁书。我在很小的时候，便已在爸爸的书架上看到你的书，可以这么说，我看到你的书比看到胡适的书早，可是我认识你比认识胡适还晚。因为，小时的我很“道学”，而你的书封面照例会贴一张西洋裸女的相片。只要我爸爸一买回你的书，被我看到，我便会指责他怎么如此“好色”，然后又趁他不注意时偷偷地取几本来看看，怀着几分紧张又垂涎三尺的心情，我翻了几页，“怎么是这些东西”！在大失所望的情绪下，积久成习，我遂也不看你的书了。可是，我爸爸从不禁止我做任何事，当然也不会禁止我读爱读的书，再加上耳濡目染的缘故，我自小就爱读书，人文意识很早就萌芽，“我该感谢我父亲的，就是他老先生从来就允许我自由意志的自由发挥，在别的小男孩还在玩泥巴的时候，我已经为自己布置了一个小图书馆，我父亲从来没有拒绝过我向他要钱买书，从来不干涉我想要看的书……二十年与他相处，他似乎充分发挥了‘北大精神’。……所谓北大精神就是‘老子不管儿子的精神’。”这一封不知谁写给胡适的信，一字一句简直是为我而写的。嘻！
034.从“冷淡”到“偷笑”.txt	35		　　因为重考，下课常至金石堂读书的关系，我看到《胡适作品集》的旁边也摆着一套你的《李敖全集》，遂也“顺道”读一读你的作品，我的欢喜自是不待言了！再三啃读之际，我索性斥资近七千块，一口气把你们这两套书买回家长相左右，我的“国学”基础，大抵就是在这时候才算真正奠定了。
034.从“冷淡”到“偷笑”.txt	37	risk	　　随着浸润你们的愈来愈深，我的信心一方面逐渐增强，另一方面我也开始有了自己的想法。首先，我发觉：原来你也很“佩服”胡适，而胡适则在《留美日记》里从不掩饰他对梁任公的倾慕。我更发觉：从梁任公到胡适、再到李敖、再到“陈复先生”，这四个人的性情与发展竟然如此相像，都是聪明过人、才识卓越、文史兼长，有着百科全书式的知识兴趣，思想自由奔放……笼统一点说，都具有自由主义者的典型性格。我曾看过韩愈毫不脸红地明着写《原道》一文，说：“斯吾所谓道也……尧以是传之舜，舜以是传之禹，禹以是传之汤，汤以是传之文武周公，文武周公传之孔子，孔子传之孟轲。轲之死，不得其传焉。”背地里的意思尽是指自己上传了前贤，并称此为“道统”。朱熹亦然。孙文则更明目张胆，他为了替自己的理论附会一个传统的袈裟，以方便传布于社会，遂说：“中国有一个道统，尧、舜、禹、汤、文、武、周公、孔子相继不绝。我的思想基础，就是这个道统，我的革命，就是继承这个正统思想来发扬光大。”其他如熊派的“新儒家”，自开山祖师熊十力以下，徐复观、唐君毅与牟宗三，个个都以其师承的“道统”来自我标榜。有了这么多的“硕学宏儒”替我奠定了吹牛皮的优良“传统”，身为兼容中西的知识分子，自由主义者的性格典型，继承了这个“正统思想”的我——陈复先生，岂能不替“我家”张目，以正世人视听呢？因此，我也要大吼一声，两眼圆瞪地说：“中国近代史上，随着世变日亟，西方文化剧烈激荡着传统中国，有一批以自由主义相号召的知识分子，各自在不同的时期为了祖国文明的改造与新生此仆彼起的奋斗。他们不以‘师承’的名目作为思想抄袭的掩饰，却共同秉持着自由主义的知识态度，树立了他们所身处的时代活泼、乐观与进取的知识分子典型。因此，他们的主张或许会有出入，却又彼此影响着，遂绵延而形成了一个新的‘道统’。这个道统，由梁任公开其绪，胡适张其大，李敖玩其放，陈复得其合。”嘻嘻！
034.从“冷淡”到“偷笑”.txt	39		　　何谓陈复“得其合”呢？此事至关紧要，我得说明如下。我深切地认为，这一百年来，我们这些思想较为灵活的知识分子，对于旧制度、旧传统的攻击与反弹，直可以用一句“颠覆有功，创造无力”来形容。怎么说呢？我们只能对自己不能满意的事物说它错了，我们固然可以将一物何以为错说得头头是道，却不能明确指出何物将可取代此错。的确，我们是有提出一些“方法”，诸如“全盘西化”与“整理国故”，以为如此便能够“再造文明”。可是我却以为，“整理国故”未免太过消极，取巧地“横向移植”西洋文化亦绝非解除中国传统枷锁的良药善方。就算这些方法有其必要性，我也想说它们已完成了自己阶段性的贡献。我们不能老以刨孔子的根而沾沾自喜，我们要有人起来凭本事建立自己的根！西方自17世纪以来不断有原创性的大思想家辈出，在各个学术领域树立了一座座耸立云霄的山头，反观吾国，自先秦以后思想多元，数峰并屹的情形不再，专制王朝的建立造成了思想定于一尊。学风僵死，吾国以两千年无绝对之外力涉入，得到维持“传统”于不坠，一朝西风东渐，方露顾盼窘迫之本相，其“幸”也乎？
034.从“冷淡”到“偷笑”.txt	41		　　五四运动的划时代贡献，我们固然不敢磨灭。可是，见诸胡适以降的“新派学者”所提出改革社会的方法，尽只是在人家（指西哲）的山脚下戏耍，这点我也不敢谬同。所谓的“陈复得其合”，意指我志在融贯中西前贤，另树新帜，以哲思学理来替吾国另建一座不输于孔孟的大山，并且“反倾销”到国外，彻底从思想上完成中国知识分子百五十年来的理想：重整邦国，又输“王道”于天下。近来我写了两篇力作，一是《一个无神论者的观点》，一是《论个人道德与集体道德》，就是这项理想的初步尝试；我的书斋名为“别开天地，另辟古今”，十分传神地说明了这层意思。只不过，届时这项成就是世界性的，中国不中国、王道不王道，似乎意义已不是那么重要了。如同马克思撰写《资本论》，原先的用意部分也是为了改革德国的现状，但其后的影响已属于全世界了！
034.从“冷淡”到“偷笑”.txt	49		　　不论是身为你的朋友或学生，我都不能忽略了你在我生命里的影响。尤其是同为自由主义阵营里的一分子，同为除了一支笔杆之外无钱也无势的书生，我占了点“晚生”的便宜，更有责任照顾到你百年之后的声名，以让我们共同坚持的理想维持于不坠。我常在想，如同当年你写《胡适评传》的心情，世上真能写《李敖传》，并且能够写得好的，大概只有我一人！原因无他，somebody的心情，不是nobody能写的。可是，当年你在《胡适评传》的“序”里说：“……那时我已有给他写本传记的意思，但是我一直没跟他提起。”我虽比你大胆地跟你提起，却不敢保证自己必将完成这部著作（虽然没提起的也没有完成，嘻！）。
038.千元相映，两代情深.txt	5	risk	　　1955年你爸爸的老师即我爸爸死的时候，你爸爸送了一千元，当时送千元巨金的有二人，即程烈与高惜冰。如今眼看四十年了，我本来想送点高额的赙金以尚往还，但转而一想，赙仪之制，本源自古人助丧家办后事，当年你爸爸送巨金给老师遗下的妇孺后人，老师家贫，那笔钱的确帮了大忙；如今你在国民党政权中独霸一方，且得“老贼”余荫，自无须“助生送死之礼”以壮丧色，所以我决定送一千元以成佳话。四十年来，一千元不知贬值了多少，但素非小气之人的李敖却只送一千元，目的正在彰显程烈先生四十年前的疏财报师之情，和国民党四十年来的币制贬值之酷。四十年玄黄乍变，最后以千元相映两代情深，国强其知我乎？
